OPUS ID,Instrument Name,Planet,Intended Target Name(s),Observation Start Time (YMDhms),Observation Duration (secs)
vg-iss-2-u-c2684338,Voyager ISS,Uranus,Ariel,1986-01-24T14:36:43.080,1.92
vg-iss-2-u-c2684340,Voyager ISS,Uranus,Ariel,1986-01-24T14:38:17.160,3.84
vg-iss-2-u-c2684342,Voyager ISS,Uranus,Ariel,1986-01-24T14:39:53.160,3.84
vg-iss-2-u-c2684344,Voyager ISS,Uranus,Ariel,1986-01-24T14:41:17.640,15.36
