OPUS ID,Instrument Name,Planet,Intended Target Name(s),Observation Start Time (YMDhms),Observation Duration (secs)
vg-iss-2-u-c2683649,Voyager ISS,Uranus,Titania,1986-01-24T09:09:31.080,1.92
vg-iss-2-u-c2683651,Voyager ISS,Uranus,Titania,1986-01-24T09:11:05.160,3.84
vg-iss-2-u-c2683653,Voyager ISS,Uranus,Titania,1986-01-24T09:12:41.160,3.84
vg-iss-2-u-c2683655,Voyager ISS,Uranus,Titania,1986-01-24T09:14:17.160,3.84
